New Code,New Name,Old Honolulu Code,Old Honolulu Name,Old Oahu Code,Old Oahu Name,Old Kaala Code,Old Kaala Name,Hex
0,Colorless Blender,0,Colorless Blender,0,Colorless Blender,0,Colorless Blender,ffffff
120,Black,120,Black,120,Black,120,Black,000000
B03,Frost,B030,Frost Blue,B996,Frost Blue,,,bedbe5
B04,Pale Cyan,B040,Baby Blue,,,,,b3dbe5
B05,Robin Egg Blue,B050,Robin's Egg Blue,,,,,a6d9e7
B09,Tahitian Blue,B070,Tahitian Blue,,,,,56bdd7
B112,Process Blue,B080,Process Blue,B683,Process Blue,,,259ac6
B015,Celadon Blue,B090,Pebble Blue,,,,,2580a7
B06,Light Cerulean,B110,Crystal Blue,,,,,86d4e7
BV35,Arctic Blue,B120,Pale Blue,B193,Pale Blue,,,accce3
BV58,Crystal Blue,B140,Aquamarine,,,,,81c6e9
BV45,Pale Hyacinth,B150,Phthalo Blue,,,,,94bde2
BV39,Pale Cerulean Blue,B170,Hyacinth,,,,,6596cc
BV311,Royal Blue,B180,Vienna Blue,B672,Vienna Blue,,,2471b8
BV312,Deep Royal Blue,B190,Ultramarine,B878,Ultramarine,,,2670b7
BV32,Pale Sky Blue,B220,Pale Grayish Blue,,,,,d5e9f2
B28,Smoke Blue,B250,Light Blue,B190,Light Blue,,,a4cce1
BV48,Distressed Denim,B260,Smoky Blue,B291,Smoky Blue,,,97b4cf
BV414,Denim Blue,B270,Vivid Blue,B383,Vivid Blue,,,6e98b7
BV415,Antwerp,B290,Antwerp Blue,B563,Antwerp Blue,,,4d88a9
BV515,Navy,B300,Marina,,,,,546e90
BV05,Cornflower,B340,Lavender Blue,B287,Lavender Mist,,,9bc0e6
BV08,Havelock Blue,B350,Cornflower Blue,,,,,7ca7d5
BV013,French Ultramarine,B380,Capri Blue,B572,Capri Blue,,,4867b1
BV015,Deep Ultramarine,B440,Cyanine Blue,,,,,4e60ac
B114,Cerulean Blue,B64,Indian Blue,B860,Indian Blue,B860,Indian Blue,2d6e9c
BGY00,Cashmere Grey,BG050,Cool Grey 05,BG050,Cool Grey 050,,,d0d8d9
GG11,Fog Grey,BG060,Deep Cool Grey,BG043,Cool Grey 043,BG043,Cool Grey 043,b5b9be
GG12,Pastel Icy Grey,BG070,Cool Grey 07,BG080,Cool Grey 080,,,a6b6bd
G315,Dark Emerald,BG1,Turquoise Green,G950,Turquoise Green,G950,Turquoise Green,004b26
G316,Deep Jade Green,BG2,Deep Green,G840,Deep Green,G840,Deep Green,44756b
